LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Unit.Code,Unit,PowerCode.Code,PowerCode,Reference.Period.Code,Reference.Period,Value
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2009,IDX,Index,0,Units,2015_100,2015=100,92.3894
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2010,IDX,Index,0,Units,2015_100,2015=100,93.52184
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2011,IDX,Index,0,Units,2015_100,2015=100,94.56285
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2012,IDX,Index,0,Units,2015_100,2015=100,95.88521
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2013,IDX,Index,0,Units,2015_100,2015=100,97.43265
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2014,IDX,Index,0,Units,2015_100,2015=100,98.83942
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2015,IDX,Index,0,Units,2015_100,2015=100,100
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2016,IDX,Index,0,Units,2015_100,2015=100,100.6612
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2017,IDX,Index,0,Units,2015_100,2015=100,101.3013
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2018,IDX,Index,0,Units,2015_100,2015=100,102.4548
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2019,IDX,Index,0,Units,2015_100,2015=100,105.2543
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2020,IDX,Index,0,Units,2015_100,2015=100,107.0127
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2021,IDX,Index,0,Units,2015_100,2015=100,108.8204
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2022,IDX,Index,0,Units,2015_100,2015=100,113.8918
